Order ID,Customer Name,Product,Category,Order Date,Quantity,Price,Total
ORD00001,Jimmy Gardner DDS,Headphones,Electronics,2022-08-17,1,100,100
ORD00002,William Montgomery,Headphones,Electronics,2024-03-06,5,100,500
ORD00003,Daniel Williams,Backpack,Accessories,2023-05-02,5,50,250
ORD00004,Katelyn Thomas,Coffee Maker,Home Appliance,2022-08-26,5,70,350
ORD00005,Alex Daniel,Laptop,Electronics,2025-04-20,2,800,1600
ORD00006,Matthew Howe,LED Monitor,Electronics,2024-09-06,4,200,800
ORD00007,Michael Wall,Desk Chair,Furniture,2023-02-15,2,150,300
ORD00008,Elizabeth Jimenez,Laptop,Electronics,2023-03-06,4,800,3200
ORD00009,Kimberly West,Desk Chair,Furniture,2023-10-17,4,150,600
ORD00010,John Hayes,Smartphone,Electronics,2025-04-30,4,600,2400
ORD00011,Bradley Hall,Laptop,Electronics,2022-12-18,3,800,2400
ORD00012,Kristen Wiley,LED Monitor,Electronics,2023-05-07,3,200,600
ORD00013,Kaitlyn Jordan,Laptop,Electronics,2024-06-18,5,800,4000
ORD00014,Tara Santiago,Coffee Maker,Home Appliance,2023-11-25,5,70,350
ORD00015,Christy Bennett,Desk Chair,Furniture,2024-10-05,5,150,750
ORD00016,Whitney Johnson,LED Monitor,Electronics,2023-03-01,4,200,800
ORD00017,Dana Richards,Headphones,Electronics,2022-10-21,1,100,100
ORD00018,Heather Ellis,Desk Chair,Furniture,2024-11-18,5,150,750
ORD00019,Heidi Cook,Desk Chair,Furniture,2022-10-28,2,150,300
ORD00020,Teresa Lopez,Desk Chair,Furniture,2023-11-10,1,150,150
ORD00021,Paul Flores,Smartphone,Electronics,2022-09-26,5,600,3000
ORD00022,Felicia Hamilton,LED Monitor,Electronics,2025-02-18,1,200,200
ORD00023,Dustin Perez,Tablet,Electronics,2022-11-26,3,350,1050
ORD00024,Gregory Durham,Backpack,Accessories,2022-09-11,1,50,50
ORD00025,Daniel Rios,Smartphone,Electronics,2024-04-28,5,600,3000
ORD00026,Travis Sutton DDS,Backpack,Accessories,2023-03-20,3,50,150
ORD00027,Jessica Diaz,Coffee Maker,Home Appliance,2023-06-03,3,70,210
ORD00028,Mary Torres,Backpack,Accessories,2022-06-08,2,50,100
ORD00029,Brett Crawford,LED Monitor,Electronics,2025-01-01,1,200,200
ORD00030,Annette Boone DDS,Water Bottle,Accessories,2024-02-14,1,20,20
ORD00031,Crystal Lara,Laptop,Electronics,2022-06-28,2,800,1600
ORD00032,Travis Simmons,Desk Chair,Furniture,2024-02-22,4,150,600
ORD00033,Emma Lewis,Tablet,Electronics,2024-03-24,5,350,1750
ORD00034,Kristopher Vasquez,Water Bottle,Accessories,2024-03-04,2,20,40
ORD00035,Chase Pittman,Laptop,Electronics,2025-03-03,2,800,1600
ORD00036,Cory May,Tablet,Electronics,2023-06-18,1,350,350
ORD00037,Dalton Ritter,Office Desk,Furniture,2022-12-17,1,300,300
ORD00038,Daniel Howard,Water Bottle,Accessories,2023-02-24,2,20,40
ORD00039,Donna Gallagher,Office Desk,Furniture,2024-02-16,3,300,900
ORD00040,Jeremy Spence,Tablet,Electronics,2025-03-04,4,350,1400
ORD00041,Mary Rodriguez,Laptop,Electronics,2023-08-29,2,800,1600
ORD00042,David Herrera,Coffee Maker,Home Appliance,2024-11-08,2,70,140
